,,,,,,,,
,,,,,,,,
"配当
学年",曜日,時限,単位,必選区分,科目名,"コース
区分",担当者,教室
,,,,,,,,
2,月,2,2,選択,現代マスコミ論,(RD),中山　洋,204
3,月,2,2,選択,情報セキュリティ概論,(d1),橋本　侑知,201
3,月,2,2,選択,情報セキュリティ概論,(d2),橋本　侑知,201
2,月,2,2,選択,動的システム,(d2),小河　誠巳,6101
2,月,3,2,選択,情報数学Ⅱ,(RD),築地　立家,"3330,3340"
2,月,3,2,選択,情報数学Ⅱ,(RD),小河　誠巳,"3330,3340"
3,月,3,2,選択,計算量と暗号,(d1),橋本　侑知,201
3,月,3,2,選択,計算量と暗号,(d2),橋本　侑知,201
3,月,3,2,選択,インタラクティブデザイン論,(d3),矢口　博之,221
3,月,3,2,選択,インタラクティブデザイン論,(d4),矢口　博之,221
2,月,3,2,選択,社会心理学,(d3),鳥居　拓馬,6102
2,月,3,2,選択,認知心理学,(d3),鳥居　拓馬,6102
3,月,4,2,選択,情報システム総合演習,(d1),泉　智紀,"203,204,124,221"
3,月,4,2,選択,情報システム総合演習,(d1),藤本　衡,"203,204,124,221"
3,月,4,2,選択,情報システム総合演習,(d1),徳田　太郎,"203,204,124,221"
3,月,4,2,選択,情報システム総合演習,(d1),築地　立家,"203,204,124,221"
3,月,4,2,選択,情報システム総合演習,(d1),松浦　昭洋,"203,204,124,221"
3,月,4,2,選択,情報システム総合演習,(d1),高橋　達二,"203,204,124,221"
3,月,4,2,選択,情報システム総合演習,(d1),日髙　章理,"203,204,124,221"
3,月,4,2,選択,情報システム総合演習,(d1),笹川　隆史,"203,204,124,221"
3,月,4,2,選択,情報システム総合演習,(d1),小河　誠巳,"203,204,124,221"
3,月,4,2,選択,情報システム総合演習,(d1),橋本　侑知,"203,204,124,221"
3,月,4,2,選択,情報システム総合演習,(d1),秋山　康智,"203,204,124,221"
3,月,4,2,選択,情報システム総合演習,(d1),神戸　英利,"203,204,124,221"
3,月,4,2,選択,情報システム総合演習,(d1),甲野　佑,"203,204,124,221"
3,月,4,2,選択,情報システム総合演習,(d1),神谷　匠,"203,204,124,221"
3,月,4,2,選択,情報システム総合演習,(d2),泉　智紀,"203,204,124,221"
3,月,4,2,選択,情報システム総合演習,(d2),藤本　衡,"203,204,124,221"
3,月,4,2,選択,情報システム総合演習,(d2),徳田　太郎,"203,204,124,221"
3,月,4,2,選択,情報システム総合演習,(d2),築地　立家,"203,204,124,221"
3,月,4,2,選択,情報システム総合演習,(d2),松浦　昭洋,"203,204,124,221"
3,月,4,2,選択,情報システム総合演習,(d2),高橋　達二,"203,204,124,221"
3,月,4,2,選択,情報システム総合演習,(d2),日髙　章理,"203,204,124,221"
3,月,4,2,選択,情報システム総合演習,(d2),笹川　隆史,"203,204,124,221"
3,月,4,2,選択,情報システム総合演習,(d2),小河　誠巳,"203,204,124,221"
3,月,4,2,選択,情報システム総合演習,(d2),橋本　侑知,"203,204,124,221"
3,月,4,2,選択,情報システム総合演習,(d2),秋山　康智,"203,204,124,221"
3,月,4,2,選択,情報システム総合演習,(d2),神戸　英利,"203,204,124,221"
3,月,4,2,選択,情報システム総合演習,(d2),甲野　佑,"203,204,124,221"
3,月,4,2,選択,情報システム総合演習,(d2),神谷　匠,"203,204,124,221"
3,月,4,2,必修,情報システム総合演習,(d1),泉　智紀,"203,204,124,221"
3,月,4,2,必修,情報システム総合演習,(d1),藤本　衡,"203,204,124,221"
3,月,4,2,必修,情報システム総合演習,(d1),徳田　太郎,"203,204,124,221"
3,月,4,2,必修,情報システム総合演習,(d1),築地　立家,"203,204,124,221"
3,月,4,2,必修,情報システム総合演習,(d1),松浦　昭洋,"203,204,124,221"
3,月,4,2,必修,情報システム総合演習,(d1),高橋　達二,"203,204,124,221"
3,月,4,2,必修,情報システム総合演習,(d1),日髙　章理,"203,204,124,221"
